[05/02/25 22:50:55] [INFO] received Windows console close event; shutting log-core down
[05/02/25 23:23:33] [INFO] received Windows console close event; shutting log-core down
[05/02/25 23:25:22] [INFO] received Windows console close event; shutting log-core down
[05/02/25 23:40:56] [INFO] received Windows console close event; shutting log-core down
[05/03/25 03:23:05] [INFO] received Windows console close event; shutting log-core down
[05/03/25 04:00:30] [INFO] received Windows console close event; shutting log-core down
[05/03/25 04:06:23] [INFO] received Windows console close event; shutting log-core down
[05/03/25 04:11:42] [INFO] received Windows console close event; shutting log-core down
[05/03/25 04:17:47] [INFO] received Windows console close event; shutting log-core down
[05/03/25 04:19:29] [INFO] received Windows console close event; shutting log-core down
[05/03/25 04:26:42] [INFO] received Windows console close event; shutting log-core down
[05/03/25 04:47:02] [INFO] received Windows console close event; shutting log-core down
[05/03/25 05:07:14] [INFO] received Windows console close event; shutting log-core down
[05/03/25 05:52:01] [INFO] received Windows console close event; shutting log-core down
[05/03/25 06:19:56] [INFO] received Windows console close event; shutting log-core down
[05/03/25 06:33:01] [INFO] received Windows console close event; shutting log-core down
[05/03/25 06:44:01] [INFO] received Windows console close event; shutting log-core down
[05/03/25 06:54:51] [INFO] received Windows console close event; shutting log-core down
[05/03/25 06:54:51] [INFO] received Windows console close event; shutting log-core down
[05/03/25 07:01:36] [INFO] received Windows console close event; shutting log-core down
[05/03/25 07:05:49] [INFO] received Windows console close event; shutting log-core down
[05/03/25 07:08:58] [INFO] received Windows console close event; shutting log-core down
[05/03/25 07:11:17] [INFO] received Windows console close event; shutting log-core down
[05/03/25 07:14:11] [INFO] received Windows console close event; shutting log-core down
[05/03/25 07:36:25] [INFO] received Windows console close event; shutting log-core down
[05/03/25 07:44:04] [INFO] received Windows console close event; shutting log-core down
[05/03/25 07:51:15] [INFO] received Windows console close event; shutting log-core down
[05/03/25 07:54:10] [INFO] received Windows console close event; shutting log-core down
[05/03/25 07:57:54] [INFO] received Windows console close event; shutting log-core down
[05/03/25 07:58:48] [INFO] received Windows console close event; shutting log-core down
[05/03/25 08:00:52] [INFO] received Windows console close event; shutting log-core down
[05/03/25 08:02:24] [INFO] received Windows console close event; shutting log-core down
[05/03/25 11:31:37] [INFO] received Windows console close event; shutting log-core down
[05/04/25 16:09:11] [INFO] received Windows console close event; shutting log-core down
[05/04/25 16:49:49] [INFO] received Windows console close event; shutting log-core down
[05/04/25 17:59:50] [INFO] received Windows console close event; shutting log-core down
[05/04/25 18:13:11] [INFO] received Windows console close event; shutting log-core down
[05/04/25 23:21:21] [INFO] received Windows console close event; shutting log-core down
[05/05/25 22:24:45] [INFO] received Windows console close event; shutting log-core down
[05/06/25 10:32:36] [INFO] received Windows console close event; shutting log-core down
